"percent_total","request","type","domain","owner","owner_country","owner_lineage"
"32.64","https://www.google-analytics.com/analytics.js","script","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"19.44","https://adservice.google.ch/adsid/integrator.js","script","google.ch","Google","US","Google > Alphabet"
"19.44","https://adservice.google.com/adsid/integrator.js","script","google.com","Google","US","Google > Alphabet"
"19.44","https://pagead2.googlesyndication.com/bg/GC5M5N_VN3lVd7ErmxmldCKoshgV9d2S74rLP9hyoZw.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"19.44","https://tpc.googlesyndication.com/sodar/sodar2.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"18.75","https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"18.75","https://www.googletagmanager.com/gtag/js","script","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"17.36","https://partner.googleadservices.com/gampad/cookie.js","script","googleadservices.com","AdSense","US","AdSense > Google > Alphabet"
"12.5","https://static.doubleclick.net/instream/ad_status.js","script","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"12.5","https://www.youtube.com/s/player/72d3c60a/fetch-polyfill.vflset/fetch-polyfill.js","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"12.5","https://www.youtube.com/s/player/72d3c60a/www-embed-player.vflset/www-embed-player.js","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"11.11","https://www.google.com/js/th/YkfklCtf3s5-_1quWHAnTHHVaBZ-i7ToAeXFpu3i2Ro.js","script","google.com","Google","US","Google > Alphabet"
"11.11","https://www.gstatic.com/cv/js/sender/v1/cast_sender.js","script","gstatic.com","Google","US","Google > Alphabet"
"10.42","https://stats.wp.com/e-202249.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"9.72","https://www.googletagservices.com/activeview/js/current/rx_lidar.js","script","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"9.03","https://tpc.googlesyndication.com/pagead/js/r20221206/r20110914/abg_lite_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"9.03","https://www.youtube.com/s/player/72d3c60a/player_ias.vflset/en_US/base.js","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"9.03","https://www.youtube.com/s/player/72d3c60a/player_ias.vflset/en_US/embed.js","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
