"use_category","percent_crawls_w_use","ave_occurances_per_page","percentage_of_use_w_cookie","percentage_of_use_ssl"
"audience_measurement","47.22","1.85","0.0","99.26"
"code","51.39","1.18","0.0","99.29"
"content_recommendation","6.25","1.22","0.0","100.0"
"customer_relationship_management","2.78","1.0","0.0","100.0"
"design_optimization","2.08","1.67","0.0","100.0"
"font","6.25","1.0","0.0","100.0"
"general","34.03","1.27","0.0","99.83"
"hosting","68.75","2.64","7.28","99.79"
"malware","0.69","1.0","0.0","100.0"
"marketing","61.11","9.05","4.65","99.82"
"security","6.94","1.0","0.0","100.0"
"social_media","32.64","2.26","1.89","99.61"
"tag_manager","29.86","1.19","0.0","100.0"
"trustmark","0.69","1.0","0.0","100.0"
"video","25.69","1.68","30.65","100.0"
