"percentage_crawls_tracked","owner","owner_country","owner_lineage"
"67.36","Alphabet","US","Alphabet"
"67.36","Google","US","Google > Alphabet"
"49.31","Google APIs","US","Google APIs > Google > Alphabet"
"40.97","DoubleClick","US","DoubleClick > Google > Alphabet"
"39.58","Google Analytics","US","Google Analytics > Google > Alphabet"
"29.17","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"23.61","AdSense","US","AdSense > Google > Alphabet"
"18.75","Automattic","US","Automattic"
"18.75","Facebook","US","Facebook"
"18.06","Wordpress","US","Wordpress > Automattic"
"16.67","YouTube","US","YouTube > Google > Alphabet"
"12.5","Amazon","US","Amazon"
"11.81","Quantcast","US","Quantcast"
"10.42","Index Exchange","CA","Index Exchange"
"10.42","OpenX","US","OpenX"
"9.72","PubMatic","US","PubMatic"
"9.72","Rubicon Project","US","Rubicon Project"
"9.03","GroupM","UK","GroupM > WPP"
"9.03","StackPath","US","StackPath"
"9.03","WPP","UK","WPP"
"8.33","Golden Gate Capital","US","Golden Gate Capital"
"8.33","Neustar","US","Neustar > Golden Gate Capital"
"8.33","Neustar Marketing","US","Neustar Marketing > Neustar > Golden Gate Capital"
"7.64","Acxiom","US","Acxiom"
"7.64","Amazon Marketing Services","US","Amazon Marketing Services > Amazon"
"7.64","LiveRamp","US","LiveRamp > Acxiom"
"7.64","Oracle","US","Oracle"
"7.64","Oracle Data Cloud","US","Oracle Data Cloud > Oracle"
"7.64","The Trade Desk","US","The Trade Desk"
"7.64","Xaxis","US","Xaxis > GroupM > WPP"
"6.94","Cloudflare","US","Cloudflare"
"6.94","Gravatar","US","Gravatar > Automattic"
"6.94","Twitter","US","Twitter"
"6.25","AT&T","US","AT&T"
"6.25","Fluct","JP","Fluct"
"6.25","jsDelivr","US","jsDelivr > Prospect One"
"6.25","Prospect One","US","Prospect One"
"6.25","Smart AdServer","FR","Smart AdServer"
"6.25","Xandr","US","Xandr > AT&T"
"5.56","AddThis","US","AddThis > Oracle Data Cloud > Oracle"
"5.56","Adobe Systems","US","Adobe Systems"
"5.56","Innovid","US","Innovid"
"5.56","Media Math","US","Media Math"
"5.56","Verizon","US","Verizon"
"5.56","Verizon Media","US","Verizon Media > Verizon"
"5.56","Yahoo","US","Yahoo > Verizon Media > Verizon"
"4.86","AdForm","DK","AdForm"
"4.86","Marimedia","IL","Marimedia"
"4.86","Taboola","US","Taboola"
"4.86","Taptica","US","Taptica > Marimedia"
"4.17","Adition Technologies","DE","Adition Technologies"
"4.17","ADYOULIKE","US","ADYOULIKE"
"4.17","Bidswitch","US","Bidswitch > IPONWEB"
"4.17","Criteo","FR","Criteo"
"4.17","IPONWEB","UK","IPONWEB"
"4.17","Loopme","UK","Loopme"
"4.17","Microsoft","US","Microsoft"
"4.17","Yandex","RU","Yandex"
"3.47","33Across","US","33Across"
"3.47","Altice SA","LU","Altice SA"
"3.47","Amobee","US","Amobee > Singtel"
"3.47","Azerion","NL","Azerion"
"3.47","Beeswax","US","Beeswax"
"3.47","Blinkx","US","Blinkx > RhythmOne > Taptica > Marimedia"
"3.47","Comcast","US","Comcast"
"3.47","Exponential Advertising Intelligence","US","Exponential Advertising Intelligence"
"3.47","FreeWheel","US","FreeWheel > Comcast"
"3.47","Gemius","PL","Gemius"
"3.47","GTCR","US","GTCR"
"3.47","ID5 Technology","UK","ID5 Technology"
"3.47","Improve Digital","NL","Improve Digital > Azerion"
"3.47","JS Foundation","US","JS Foundation"
"3.47","LinkedIn","US","LinkedIn > Microsoft"
"3.47","Lotame","US","Lotame"
"3.47","Media.net","US","Media.net"
"3.47","OnAudience","UK","OnAudience"
"3.47","RhythmOne","US","RhythmOne > Taptica > Marimedia"
"3.47","simpli.fi","US","simpli.fi > GTCR"
"3.47","Singtel","SG","Singtel"
"3.47","TapAd","US","TapAd > Telenor"
"3.47","Teads","US","Teads > Altice SA"
"3.47","Telenor","NO","Telenor"
"3.47","Tremor Video","US","Tremor Video > Taptica > Marimedia"
"3.47","Tribal Fusion","US","Tribal Fusion > Exponential Advertising Intelligence"
"3.47","Turn","US","Turn > Amobee > Singtel"
"3.47","Zeotap","DE","Zeotap"
"2.78","AdGear","CA","AdGear > Samsung"
"2.78","Adobe Audience Manager","US","Adobe Audience Manager > Adobe Experience Cloud > Adobe Systems"
"2.78","Adobe Experience Cloud","US","Adobe Experience Cloud > Adobe Systems"
"2.78","Adobe Fonts","US","Adobe Fonts > Adobe Systems"
"2.78","Avocet","UK","Avocet"
"2.78","Bidtheatre","SE","Bidtheatre"
"2.78","Centro","US","Centro"
"2.78","Conversant Media","US","Conversant Media > Here, There & Everywhere"
"2.78","Crimtan","UK","Crimtan"
"2.78","Dotomi","US","Dotomi > Conversant Media > Here, There & Everywhere"
"2.78","exelate","US","exelate > Nielsen Online"
"2.78","Federated Media","US","Federated Media"
"2.78","Fifty Technology","UK","Fifty Technology"
"2.78","Fonticons","US","Fonticons"
"2.78","Here, There & Everywhere","AU","Here, There & Everywhere"
"2.78","Nielsen Online","US","Nielsen Online"
"2.78","Oracle Blue Kai","US","Oracle Blue Kai > Oracle Data Cloud > Oracle"
"2.78","Outbrain","US","Outbrain"
"2.78","Pinterest","US","Pinterest"
"2.78","PulsePoint","US","PulsePoint"
