"percent_total","domain","owner","owner_country","owner_lineage"
"49.31","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"47.22","gstatic.com","Google","US","Google > Alphabet"
"40.97","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"40.28","google.com","Google","US","Google > Alphabet"
"39.58","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"27.08","google.ch","Google","US","Google > Alphabet"
"23.61","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"22.92","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"18.06","googleadservices.com","AdSense","US","AdSense > Google > Alphabet"
"18.06","wp.com","Wordpress","US","Wordpress > Automattic"
"15.97","facebook.net","Facebook","US","Facebook"
"15.97","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"14.58","facebook.com","Facebook","US","Facebook"
"12.5","ytimg.com","YouTube","US","YouTube > Google > Alphabet"
"11.81","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"11.81","quantserve.com","Quantcast","US","Quantcast"
"11.11","ggpht.com","Google","US","Google > Alphabet"
"10.42","casalemedia.com","Index Exchange","CA","Index Exchange"
"10.42","openx.net","OpenX","US","OpenX"
"9.72","pubmatic.com","PubMatic","US","PubMatic"
"9.72","rubiconproject.com","Rubicon Project","US","Rubicon Project"
"9.03","bootstrapcdn.com","StackPath","US","StackPath"
"8.33","agkn.com","Neustar Marketing","US","Neustar Marketing > Neustar > Golden Gate Capital"
"7.64","adsrvr.org","The Trade Desk","US","The Trade Desk"
"7.64","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon"
"7.64","mookie1.com","Xaxis","US","Xaxis > GroupM > WPP"
"7.64","rlcdn.com","LiveRamp","US","LiveRamp > Acxiom"
"6.94","cloudflare.com","Cloudflare","US","Cloudflare"
"6.94","fbcdn.net","Facebook","US","Facebook"
"6.94","gravatar.com","Gravatar","US","Gravatar > Automattic"
"6.25","adingo.jp","Fluct","JP","Fluct"
"6.25","adnxs.com","Xandr","US","Xandr > AT&T"
"6.25","jsdelivr.net","jsDelivr","US","jsDelivr > Prospect One"
"6.25","pubmine.com","","",""
"6.25","smartadserver.com","Smart AdServer","FR","Smart AdServer"
"6.25","twitter.com","Twitter","US","Twitter"
"5.56","addthis.com","AddThis","US","AddThis > Oracle Data Cloud > Oracle"
"5.56","cloudfront.net","Amazon","US","Amazon"
"5.56","innovid.com","Innovid","US","Innovid"
"5.56","mathtag.com","Media Math","US","Media Math"
"5.56","onesignal.com","","",""
"5.56","paypalobjects.com","","",""
"5.56","yahoo.com","Yahoo","US","Yahoo > Verizon Media > Verizon"
"4.86","2mdn.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"4.86","adform.net","AdForm","DK","AdForm"
"4.86","taboola.com","Taboola","US","Taboola"
"4.17","adition.com","Adition Technologies","DE","Adition Technologies"
"4.17","bidswitch.net","Bidswitch","US","Bidswitch > IPONWEB"
"4.17","criteo.com","Criteo","FR","Criteo"
"4.17","loopme.me","Loopme","UK","Loopme"
"4.17","omnitagjs.com","ADYOULIKE","US","ADYOULIKE"
"4.17","paypal.com","","",""
"4.17","sascdn.com","Smart AdServer","FR","Smart AdServer"
"3.47","1rx.io","Blinkx","US","Blinkx > RhythmOne > Taptica > Marimedia"
"3.47","360yield.com","Improve Digital","NL","Improve Digital > Azerion"
"3.47","bidr.io","Beeswax","US","Beeswax"
"3.47","crwdcntrl.net","Lotame","US","Lotame"
"3.47","de17a.com","","",""
"3.47","eu-1-id5-sync.com","","",""
"3.47","fwmrm.net","FreeWheel","US","FreeWheel > Comcast"
"3.47","gemius.pl","Gemius","PL","Gemius"
"3.47","id5-sync.com","ID5 Technology","UK","ID5 Technology"
"3.47","jquery.com","JS Foundation","US","JS Foundation"
"3.47","linkedin.com","LinkedIn","US","LinkedIn > Microsoft"
"3.47","media.net","Media.net","US","Media.net"
"3.47","onaudience.com","OnAudience","UK","OnAudience"
"3.47","onetag-sys.com","","",""
"3.47","quantcount.com","Quantcast","US","Quantcast"
"3.47","simpli.fi","simpli.fi","US","simpli.fi > GTCR"
"3.47","stackadapt.com","","",""
"3.47","tapad.com","TapAd","US","TapAd > Telenor"
"3.47","teads.tv","Teads","US","Teads > Altice SA"
"3.47","tribalfusion.com","Tribal Fusion","US","Tribal Fusion > Exponential Advertising Intelligence"
"3.47","turn.com","Turn","US","Turn > Amobee > Singtel"
"3.47","twimg.com","Twitter","US","Twitter"
"3.47","yandex.ru","Yandex","RU","Yandex"
"3.47","zeotap.com","Zeotap","DE","Zeotap"
"2.78","4dex.io","","",""
"2.78","ad.style","","",""
"2.78","addtoany.com","","",""
"2.78","adgrx.com","AdGear","CA","AdGear > Samsung"
"2.78","adleadevent.com","","",""
"2.78","audrte.com","","",""
"2.78","b37mrtl.ru","","",""
"2.78","bidtheatre.com","Bidtheatre","SE","Bidtheatre"
"2.78","bluekai.com","Oracle Blue Kai","US","Oracle Blue Kai > Oracle Data Cloud > Oracle"
"2.78","contextweb.com","PulsePoint","US","PulsePoint"
"2.78","cpx.to","Avocet","UK","Avocet"
"2.78","creativecdn.com","","",""
"2.78","ctnsnet.com","Crimtan","UK","Crimtan"
"2.78","demdex.net","Adobe Audience Manager","US","Adobe Audience Manager > Adobe Experience Cloud > Adobe Systems"
"2.78","dotomi.com","Dotomi","US","Dotomi > Conversant Media > Here, There & Everywhere"
"2.78","e-planning.net","","",""
"2.78","erne.co","","",""
"2.78","everesttech.net","Adobe Experience Cloud","US","Adobe Experience Cloud > Adobe Systems"
"2.78","exelator.com","exelate","US","exelate > Nielsen Online"
"2.78","fiftyt.com","Fifty Technology","UK","Fifty Technology"
"2.78","fontawesome.com","Fonticons","US","Fonticons"
"2.78","googleusercontent.com","Google","US","Google > Alphabet"
"2.78","imrworldwide.com","Nielsen Online","US","Nielsen Online"
"2.78","iprom.net","","",""
"2.78","krxd.net","Salesforce DMP","US","Salesforce DMP > Salesforce"
"2.78","leadplace.fr","","",""
"2.78","lijit.com","Sovrn","US","Sovrn > Federated Media"
"2.78","odycdn.com","","",""
"2.78","outbrain.com","Outbrain","US","Outbrain"
