"percent_total","domain","owner","owner_country","owner_lineage"
"26.19","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"23.81","gstatic.com","Google","US","Google > Alphabet"
"21.43","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"14.29","google.com","Google","US","Google > Alphabet"
"11.9","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"11.9","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"4.76","adnxs.com","Xandr","US","Xandr > AT&T"
"4.76","adsrvr.org","The Trade Desk","US","The Trade Desk"
"4.76","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon"
"4.76","cloudflare.com","Cloudflare","US","Cloudflare"
"4.76","criteo.com","Criteo","FR","Criteo"
"4.76","facebook.com","Facebook","US","Facebook"
"4.76","fontawesome.com","Fonticons","US","Fonticons"
"4.76","google.ch","Google","US","Google > Alphabet"
"4.76","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"4.76","id5-sync.com","ID5 Technology","UK","ID5 Technology"
"4.76","jsdelivr.net","jsDelivr","US","jsDelivr > Prospect One"
"4.76","mathtag.com","Media Math","US","Media Math"
"4.76","quantserve.com","Quantcast","US","Quantcast"
"4.76","rubiconproject.com","Rubicon Project","US","Rubicon Project"
"4.76","typekit.net","Adobe Fonts","US","Adobe Fonts > Adobe Systems"
"4.76","yahoo.com","Yahoo","US","Yahoo > Verizon Media > Verizon"
"2.38","1rx.io","Blinkx","US","Blinkx > RhythmOne > Taptica > Marimedia"
"2.38","2kita.com","","",""
"2.38","4dex.io","","",""
"2.38","addthis.com","AddThis","US","AddThis > Oracle Data Cloud > Oracle"
"2.38","addthisedge.com","AddThis","US","AddThis > Oracle Data Cloud > Oracle"
"2.38","adform.net","AdForm","DK","AdForm"
"2.38","aniview.com","","",""
"2.38","anonymousnews.ru","","",""
"2.38","besucherzaehler-kostenlos.de","","",""
"2.38","bidswitch.net","Bidswitch","US","Bidswitch > IPONWEB"
"2.38","brightcove.com","Brightcove","US","Brightcove"
"2.38","cloudflareinsights.com","","",""
"2.38","cloudfront.net","Amazon","US","Amazon"
"2.38","cloudimg.io","","",""
"2.38","cookiebot.com","","",""
"2.38","cpx.to","Avocet","UK","Avocet"
"2.38","deepseatools.de","","",""
"2.38","eu-1-id5-sync.com","","",""
"2.38","facebook.net","Facebook","US","Facebook"
"2.38","fastly.net","Fastly","US","Fastly"
"2.38","fonts.net","Fonts.com","US","Fonts.com > Monotype Imaging"
"2.38","github.io","","",""
"2.38","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"2.38","imgix.net","Imgix","US","Imgix"
"2.38","in-berlin.de","","",""
"2.38","ioam.de","INFOnline","DE","INFOnline"
"2.38","kenfm.de","","",""
"2.38","leadplace.fr","","",""
"2.38","linkedin.com","LinkedIn","US","LinkedIn > Microsoft"
"2.38","luxadv.com","","",""
"2.38","mateti.net","Webtrekk","DE","Webtrekk"
"2.38","moatads.com","Moat","US","Moat > Oracle Data Cloud > Oracle"
"2.38","newrelic.com","New Relic","US","New Relic"
"2.38","nr-data.net","New Relic","US","New Relic"
"2.38","onetag-sys.com","","",""
"2.38","openx.net","OpenX","US","OpenX"
"2.38","perspective-daily.com","","",""
"2.38","polyfill.io","","",""
"2.38","printfriendly.com","","",""
"2.38","privacy-mgmt.com","","",""
"2.38","project-r.construction","","",""
"2.38","pubmatic.com","PubMatic","US","PubMatic"
"2.38","qccerttest.com","","",""
"2.38","quantcount.com","Quantcast","US","Quantcast"
"2.38","repub.ch","","",""
"2.38","rlcdn.com","LiveRamp","US","LiveRamp > Acxiom"
"2.38","russiatoday.com","","",""
"2.38","sascdn.com","Smart AdServer","FR","Smart AdServer"
"2.38","sddan.com","","",""
"2.38","smartadserver.com","Smart AdServer","FR","Smart AdServer"
"2.38","taboola.com","Taboola","US","Taboola"
"2.38","telepolis.de","","",""
"2.38","themoneytizer.com","","",""
"2.38","tmyzer.com","","",""
"2.38","twimg.com","Twitter","US","Twitter"
"2.38","twitter.com","Twitter","US","Twitter"
"2.38","unrulymedia.com","Unruly","UK","Unruly > Tremor Video > Taptica > Marimedia"
"2.38","unrulyvideo.com","","",""
"2.38","upscore.com","","",""
"2.38","vimeo.com","Vimeo","US","Vimeo > IAC"
"2.38","vimeocdn.com","Vimeo","US","Vimeo > IAC"
"2.38","wp.com","Wordpress","US","Wordpress > Automattic"
"2.38","xing-share.com","","",""
"2.38","yadro.ru","Yadro","RU","Yadro"
"2.38","yandex.ru","Yandex","RU","Yandex"
"2.38","yieldlove-ad-serving.net","","",""
"2.38","yieldlove.com","","",""
"2.38","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"2.38","zdf.de","","",""
"2.38","zeotap.com","Zeotap","DE","Zeotap"
