"percent_total","request","type","domain","owner","owner_country","owner_lineage"
"23.81","https://www.google-analytics.com/analytics.js","script","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"23.81","https://www.google-analytics.com/j/collect","xhr","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"16.67","https://fonts.googleapis.com/css","stylesheet","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"11.9","https://www.googletagmanager.com/gtag/js","script","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"9.52","https://stats.g.doubleclick.net/j/collect","xhr","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"7.14","https://fonts.gstatic.com/s/opensans/v34/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-muw.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"7.14","https://fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmEU9fBBc4.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"7.14","https://fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmWUlfBBc4.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"7.14","https://fonts.gstatic.com/s/roboto/v30/KFOmCnqEu92Fr1Mu4mxK.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"7.14","https://www.google.com/recaptcha/api.js","script","google.com","Google","US","Google > Alphabet"
"7.14","https://www.gstatic.com/recaptcha/releases/zmiYzsHi8INTJBWt2QZC9aM5/recaptcha__en.js","script","gstatic.com","Google","US","Google > Alphabet"
"4.76","https://cm.g.doubleclick.net/pixel","image","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"4.76","https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"4.76","https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"4.76","https://gum.criteo.com/sid/json","other","criteo.com","Criteo","FR","Criteo"
"4.76","https://gum.criteo.com/sid/json","xhr","criteo.com","Criteo","FR","Criteo"
"4.76","https://pixel.rubiconproject.com/tap.php","image","rubiconproject.com","Rubicon Project","US","Rubicon Project"
"4.76","https://region1.google-analytics.com/g/collect","ping","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"4.76","https://sync.mathtag.com/sync/img","image","mathtag.com","Media Math","US","Media Math"
"4.76","https://www.facebook.com/plugins/like.php","document","facebook.com","Facebook","US","Facebook"
"4.76","https://www.google.ch/ads/ga-audiences","image","google.ch","Google","US","Google > Alphabet"
"4.76","https://www.google.com/ads/ga-audiences","image","google.com","Google","US","Google > Alphabet"
"4.76","https://www.google.com/recaptcha/api2/anchor","document","google.com","Google","US","Google > Alphabet"
"4.76","https://www.google.com/recaptcha/api2/reload","xhr","google.com","Google","US","Google > Alphabet"
"4.76","https://www.google.com/recaptcha/api2/webworker.js","other","google.com","Google","US","Google > Alphabet"
"4.76","https://www.gstatic.com/recaptcha/api2/logo_48.png","image","gstatic.com","Google","US","Google > Alphabet"
"4.76","https://www.gstatic.com/recaptcha/releases/zmiYzsHi8INTJBWt2QZC9aM5/styles__ltr.css","stylesheet","gstatic.com","Google","US","Google > Alphabet"
"2.38","http://pagead2.googlesyndication.com/pagead/show_ads.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"2.38","http://www.anonymousnews.ru/","document","anonymousnews.ru","","",""
"2.38","https://2kita.com/","document","2kita.com","","",""
"2.38","https://2kita.com/vpn/assets/css/demo.css","stylesheet","2kita.com","","",""
"2.38","https://2kita.com/vpn/assets/js/config.js","script","2kita.com","","",""
"2.38","https://2kita.com/vpn/assets/js/main.js","script","2kita.com","","",""
"2.38","https://2kita.com/vpn/assets/vendor/css/core.css","stylesheet","2kita.com","","",""
"2.38","https://2kita.com/vpn/assets/vendor/css/pages/page-auth.css","stylesheet","2kita.com","","",""
"2.38","https://2kita.com/vpn/assets/vendor/css/theme-default.css","stylesheet","2kita.com","","",""
"2.38","https://2kita.com/vpn/assets/vendor/fonts/boxicons.css","stylesheet","2kita.com","","",""
"2.38","https://2kita.com/vpn/assets/vendor/js/bootstrap.js","script","2kita.com","","",""
"2.38","https://2kita.com/vpn/assets/vendor/js/helpers.js","script","2kita.com","","",""
"2.38","https://2kita.com/vpn/assets/vendor/js/menu.js","script","2kita.com","","",""
"2.38","https://2kita.com/vpn/assets/vendor/libs/jquery/jquery.js","script","2kita.com","","",""
"2.38","https://2kita.com/vpn/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css","stylesheet","2kita.com","","",""
"2.38","https://2kita.com/vpn/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.js","script","2kita.com","","",""
"2.38","https://2kita.com/vpn/assets/vendor/libs/popper/popper.js","script","2kita.com","","",""
"2.38","https://2kita.com/vpn/pages/auth","document","2kita.com","","",""
"2.38","https://aax-eu.amazon-adsystem.com/s/dcm","image","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon"
"2.38","https://acdn.adnxs.com/dmp/async_usersync.html","document","adnxs.com","Xandr","US","Xandr > AT&T"
"2.38","https://ads.themoneytizer.com/lib_fs_close.js","script","themoneytizer.com","","",""
