"percent_total","domain","owner","owner_country","owner_lineage"
"43.18","google.com","Google","US","Google > Alphabet"
"40.91","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"31.82","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"31.82","gstatic.com","Google","US","Google > Alphabet"
"29.55","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"27.27","facebook.com","Facebook","US","Facebook"
"27.27","google.ch","Google","US","Google > Alphabet"
"25.0","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"22.73","facebook.net","Facebook","US","Facebook"
"22.73","scorecardresearch.com","ScorecardResearch","US","ScorecardResearch > comScore"
"18.18","adnxs.com","Xandr","US","Xandr > AT&T"
"18.18","cookielaw.org","","",""
"18.18","onetrust.com","","",""
"15.91","twitter.com","Twitter","US","Twitter"
"13.64","mpod.ch","","",""
"11.36","adsafeprotected.com","Integral Ad Science","US","Integral Ad Science"
"11.36","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon"
"11.36","googleadservices.com","AdSense","US","AdSense > Google > Alphabet"
"11.36","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"9.09","adform.net","AdForm","DK","AdForm"
"9.09","akamaized.net","Akamai","US","Akamai"
"9.09","bing.com","Bing","US","Bing > Microsoft"
"9.09","casalemedia.com","Index Exchange","CA","Index Exchange"
"9.09","chartbeat.com","Chartbeat","US","Chartbeat"
"9.09","chartbeat.net","Chartbeat","US","Chartbeat"
"9.09","criteo.com","Criteo","FR","Criteo"
"9.09","demdex.net","Adobe Audience Manager","US","Adobe Audience Manager > Adobe Experience Cloud > Adobe Systems"
"9.09","everesttech.net","Adobe Experience Cloud","US","Adobe Experience Cloud > Adobe Systems"
"9.09","opecloud.com","","",""
"9.09","openx.net","OpenX","US","OpenX"
"6.82","adsrvr.org","The Trade Desk","US","The Trade Desk"
"6.82","advertising.com","ONE by Aol","US","ONE by Aol > Aol > Verizon Media > Verizon"
"6.82","agkn.com","Neustar Marketing","US","Neustar Marketing > Neustar > Golden Gate Capital"
"6.82","amazonaws.com","Amazon Web Services","US","Amazon Web Services > Amazon"
"6.82","bidswitch.net","Bidswitch","US","Bidswitch > IPONWEB"
"6.82","bluekai.com","Oracle Blue Kai","US","Oracle Blue Kai > Oracle Data Cloud > Oracle"
"6.82","boltdns.net","","",""
"6.82","cloudflare.com","Cloudflare","US","Cloudflare"
"6.82","cloudfront.net","Amazon","US","Amazon"
"6.82","creativecdn.com","","",""
"6.82","crwdcntrl.net","Lotame","US","Lotame"
"6.82","da-services.ch","","",""
"6.82","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
