"page_domain","3p_request_domain","3p_domain_owner","3p_domain_owner_country"
"20min.ch","acuityplatform.com","AcuityAds","CA"
"20min.ch","ad4m.at","",""
"20min.ch","adentifi.com","",""
"20min.ch","adnxs.com","Xandr","US"
"20min.ch","adsafeprotected.com","Integral Ad Science","US"
"20min.ch","adsrvr.org","The Trade Desk","US"
"20min.ch","advangelists.com","",""
"20min.ch","amazon-adsystem.com","Amazon Marketing Services","US"
"20min.ch","casalemedia.com","Index Exchange","CA"
"20min.ch","cookielaw.org","",""
"20min.ch","da-services.ch","",""
"20min.ch","doubleclick.net","DoubleClick","US"
"20min.ch","facebook.com","Facebook","US"
"20min.ch","facebook.net","Facebook","US"
"20min.ch","fooby.ch","",""
"20min.ch","google-analytics.com","Google Analytics","US"
"20min.ch","google.ch","Google","US"
"20min.ch","google.com","Google","US"
"20min.ch","googletagmanager.com","Google Tag Manager","US"
"20min.ch","indexww.com","Index Exchange","CA"
"20min.ch","mathtag.com","Media Math","US"
"20min.ch","onetrust.com","",""
"20min.ch","opecloud.com","",""
"20min.ch","quantserve.com","Quantcast","US"
"20min.ch","scorecardresearch.com","ScorecardResearch","US"
"20min.ch","stickyadstv.com","StickyADS.tv","US"
"20min.ch","tamedia.link","",""
"20min.ch","tda.link","",""
"20min.ch","tiktok.com","",""
"20min.ch","unitycms.io","",""
"blick.ch","admeira.ch","",""
"blick.ch","adnxs-simple.com","",""
"blick.ch","adnxs.com","Xandr","US"
"blick.ch","adsafeprotected.com","Integral Ad Science","US"
"blick.ch","blickdeal.ch","",""
"blick.ch","boltdns.net","",""
"blick.ch","brandmetrics.com","",""
"blick.ch","brightcove.com","Brightcove","US"
"blick.ch","brightcove.net","Brightcove","US"
"blick.ch","cwi.re","",""
"blick.ch","cxense.com","Cxense","NO"
"blick.ch","doubleclick.net","DoubleClick","US"
"blick.ch","dreamlab.pl","",""
"blick.ch","facebook.com","Facebook","US"
"blick.ch","facebook.net","Facebook","US"
"blick.ch","google-analytics.com","Google Analytics","US"
"blick.ch","google.ch","Google","US"
"blick.ch","google.com","Google","US"
"blick.ch","googletagmanager.com","Google Tag Manager","US"
"blick.ch","h-cdn.com","",""
"blick.ch","npttech.com","",""
"blick.ch","ocdn.eu","",""
"blick.ch","onesignal.com","",""
"blick.ch","onet.pl","",""
"blick.ch","opecloud.com","",""
"blick.ch","piano.io","",""
"blick.ch","realtimely.io","",""
"blick.ch","scorecardresearch.com","ScorecardResearch","US"
"blick.ch","sentry.io","",""
"blick.ch","tinypass.com","",""
"derbund.ch","ad4m.at","",""
"derbund.ch","adform.net","AdForm","DK"
"derbund.ch","adnxs-simple.com","",""
"derbund.ch","adnxs.com","Xandr","US"
"derbund.ch","ads-twitter.com","Twitter","US"
"derbund.ch","adsafeprotected.com","Integral Ad Science","US"
"derbund.ch","adsrvr.org","The Trade Desk","US"
"derbund.ch","amazon-adsystem.com","Amazon Marketing Services","US"
"derbund.ch","casalemedia.com","Index Exchange","CA"
"derbund.ch","cloudflare.com","Cloudflare","US"
"derbund.ch","cxense.com","Cxense","NO"
"derbund.ch","da-services.ch","",""
"derbund.ch","demdex.net","Adobe Audience Manager","US"
"derbund.ch","doubleclick.net","DoubleClick","US"
"derbund.ch","facebook.com","Facebook","US"
"derbund.ch","facebook.net","Facebook","US"
"derbund.ch","google-analytics.com","Google Analytics","US"
"derbund.ch","google.ch","Google","US"
"derbund.ch","google.com","Google","US"
"derbund.ch","googleadservices.com","AdSense","US"
"derbund.ch","googleapis.com","Google APIs","US"
"derbund.ch","googlesyndication.com","AdSense","US"
"derbund.ch","googletagmanager.com","Google Tag Manager","US"
"derbund.ch","googletagservices.com","Google Tag Manager","US"
"derbund.ch","gstatic.com","Google","US"
"derbund.ch","indexww.com","Index Exchange","CA"
"derbund.ch","myvisualiq.net","Nielsen Online","US"
"derbund.ch","opecloud.com","",""
"derbund.ch","owneriq.net","OwnerIQ","US"
"derbund.ch","parsely.com","Parsely","US"
"derbund.ch","piano.io","",""
"derbund.ch","sc-static.net","",""
"derbund.ch","scorecardresearch.com","ScorecardResearch","US"
"derbund.ch","t.co","Twitter","US"
"derbund.ch","tamedia.ch","",""
"derbund.ch","tamedia.link","",""
"derbund.ch","tda.link","",""
"derbund.ch","tiktok.com","",""
"derbund.ch","tinypass.com","",""
"derbund.ch","twitter.com","Twitter","US"
"derbund.ch","tx.group","",""
"derbund.ch","unitycms.io","",""
"nzz.ch","adform.net","AdForm","DK"
"nzz.ch","adition.com","Adition Technologies","DE"
"nzz.ch","adnxs.com","Xandr","US"
"nzz.ch","adnz.co","",""
"nzz.ch","ads-twitter.com","Twitter","US"
"nzz.ch","adtech.de","ONE by Aol","US"
"nzz.ch","astatic.org","",""
"nzz.ch","chartbeat.com","Chartbeat","US"
"nzz.ch","chartbeat.net","Chartbeat","US"
"nzz.ch","consensu.org","IAB Europe","BE"
"nzz.ch","danzz.ch","",""
"nzz.ch","demdex.net","Adobe Audience Manager","US"
"nzz.ch","doubleclick.net","DoubleClick","US"
"nzz.ch","everesttech.net","Adobe Experience Cloud","US"
"nzz.ch","facebook.com","Facebook","US"
"nzz.ch","facebook.net","Facebook","US"
"nzz.ch","google.com","Google","US"
"nzz.ch","googleadservices.com","AdSense","US"
"nzz.ch","hotjar.com","Hotjar","MT"
"nzz.ch","hotjar.io","Hotjar","MT"
"nzz.ch","licdn.com","LinkedIn","US"
"nzz.ch","linkedin.com","LinkedIn","US"
"nzz.ch","omtrdc.net","Adobe Experience Cloud","US"
"nzz.ch","scorecardresearch.com","ScorecardResearch","US"
"nzz.ch","static-nzz.ch","",""
"nzz.ch","t.co","Twitter","US"
"nzz.ch","themarket.ch","",""
"nzz.ch","twitter.com","Twitter","US"
"watson.ch","adform.net","AdForm","DK"
"watson.ch","adnxs.com","Xandr","US"
"watson.ch","adnz.co","",""
"watson.ch","adsafeprotected.com","Integral Ad Science","US"
"watson.ch","adsrvr.org","The Trade Desk","US"
"watson.ch","chartbeat.com","Chartbeat","US"
"watson.ch","cloudflare.com","Cloudflare","US"
"watson.ch","codevelop.network","",""
"watson.ch","criteo.com","Criteo","FR"
"watson.ch","da-services.ch","",""
"watson.ch","doubleclick.net","DoubleClick","US"
"watson.ch","facebook.com","Facebook","US"
"watson.ch","facebook.net","Facebook","US"
"watson.ch","gbucket.ch","",""
"watson.ch","google-analytics.com","Google Analytics","US"
"watson.ch","google.ch","Google","US"
"watson.ch","google.com","Google","US"
"watson.ch","googlesyndication.com","AdSense","US"
"watson.ch","googletagmanager.com","Google Tag Manager","US"
"watson.ch","googletagservices.com","Google Tag Manager","US"
"watson.ch","jwplayer.com","Longtail Ad Solutions","US"
"watson.ch","jwpsrv.com","Longtail Ad Solutions","US"
"watson.ch","mookie1.com","Xaxis","US"
"watson.ch","onesignal.com","",""
"watson.ch","openx.net","OpenX","US"
"watson.ch","openxcdn.net","",""
"watson.ch","plista.com","plista","DE"
"watson.ch","quantserve.com","Quantcast","US"
"watson.ch","scorecardresearch.com","ScorecardResearch","US"
"watson.ch","ubimet.com","",""
"zueritoday.ch","adnxs.com","Xandr","US"
"zueritoday.ch","adnz.co","",""
"zueritoday.ch","az-cdn.ch","",""
"zueritoday.ch","chartbeat.com","Chartbeat","US"
"zueritoday.ch","chartbeat.net","Chartbeat","US"
