"page_domain","3p_request_domain","3p_domain_owner","3p_domain_owner_country"
"addendum.org","brightcove.com","Brightcove","US"
"adpunktum.de","googleapis.com","Google APIs","US"
"alpenparlament.tv","facebook.com","Facebook","US"
"alpenparlament.tv","google-analytics.com","Google Analytics","US"
"alpenparlament.tv","newrelic.com","New Relic","US"
"alpenparlament.tv","nr-data.net","New Relic","US"
"alpenparlament.tv","vimeo.com","Vimeo","US"
"alpenparlament.tv","vimeocdn.com","Vimeo","US"
"anderweltonline.com","facebook.com","Facebook","US"
"anonymousnews.org","anonymousnews.ru","",""
"derfunke.at","fontawesome.com","Fonticons","US"
"derfunke.at","google-analytics.com","Google Analytics","US"
"derfunke.at","gstatic.com","Google","US"
"derfunke.at","youtube.com","YouTube","US"
"deutschlandkurier.de","google.com","Google","US"
"deutschlandkurier.de","googleapis.com","Google APIs","US"
"deutschlandkurier.de","gstatic.com","Google","US"
"dossier.at","google-analytics.com","Google Analytics","US"
"dossier.at","googletagmanager.com","Google Tag Manager","US"
"dossier.at","typekit.net","Adobe Fonts","US"
"eingeschenkt.tv","googleapis.com","Google APIs","US"
"eingeschenkt.tv","gstatic.com","Google","US"
"epochtimes.de","cookiebot.com","",""
"feed-reader.net","cloudflare.com","Cloudflare","US"
"fischundfleisch.com","doubleclick.net","DoubleClick","US"
"fischundfleisch.com","facebook.net","Facebook","US"
"fischundfleisch.com","google-analytics.com","Google Analytics","US"
"fischundfleisch.com","polyfill.io","",""
"freie-welt.eu","google.com","Google","US"
"freie-welt.eu","googleapis.com","Google APIs","US"
"freie-welt.eu","gstatic.com","Google","US"
"freiewelt.net","googleapis.com","Google APIs","US"
"freiewelt.net","gstatic.com","Google","US"
"heise.de","cloudimg.io","",""
"heise.de","mateti.net","Webtrekk","DE"
"heise.de","upscore.com","",""
"hintergrund.de","googleapis.com","Google APIs","US"
"hintergrund.de","gstatic.com","Google","US"
"internetz-zeitung.eu","russiatoday.com","",""
"internetz-zeitung.eu","twimg.com","Twitter","US"
"internetz-zeitung.eu","zdf.de","",""
"konkret-magazin.de","cloudflare.com","Cloudflare","US"
"kopp-report.de","cloudflareinsights.com","",""
"kopp-report.de","doubleclick.net","DoubleClick","US"
"kopp-report.de","google-analytics.com","Google Analytics","US"
"kopp-report.de","google.ch","Google","US"
"kopp-report.de","google.com","Google","US"
"kopp-report.de","googletagmanager.com","Google Tag Manager","US"
"linksnet.de","in-berlin.de","",""
"nachdenkseiten.de","wp.com","Wordpress","US"
"news-front.info","2kita.com","",""
"news-front.info","addthis.com","AddThis","US"
"news-front.info","addthisedge.com","AddThis","US"
"news-front.info","doubleclick.net","DoubleClick","US"
"news-front.info","github.io","",""
"news-front.info","google-analytics.com","Google Analytics","US"
"news-front.info","google.ch","Google","US"
"news-front.info","google.com","Google","US"
"news-front.info","googleapis.com","Google APIs","US"
"news-front.info","googlesyndication.com","AdSense","US"
"news-front.info","googletagmanager.com","Google Tag Manager","US"
"news-front.info","gstatic.com","Google","US"
"news-front.info","luxadv.com","",""
"news-front.info","moatads.com","Moat","US"
"news-front.info","yadro.ru","Yadro","RU"
"news-front.info","yandex.ru","Yandex","RU"
"novo-argumente.com","fonts.net","Fonts.com","US"
"novo-argumente.com","google-analytics.com","Google Analytics","US"
"perspective-daily.de","imgix.net","Imgix","US"
"perspective-daily.de","perspective-daily.com","",""
"politikversagen.net","google-analytics.com","Google Analytics","US"
"politonline.ch","googlesyndication.com","AdSense","US"
"republik.ch","project-r.construction","",""
"republik.ch","repub.ch","",""
"tagesstimme.com","google-analytics.com","Google Analytics","US"
"tagesstimme.com","googletagmanager.com","Google Tag Manager","US"
"tagesstimme.com","twitter.com","Twitter","US"
"tagesstimme.com","typekit.net","Adobe Fonts","US"
"terra-kurier.de","besucherzaehler-kostenlos.de","",""
"theintelligence.de","1rx.io","Blinkx","US"
"theintelligence.de","4dex.io","",""
"theintelligence.de","adnxs.com","Xandr","US"
"theintelligence.de","adsrvr.org","The Trade Desk","US"
"theintelligence.de","amazon-adsystem.com","Amazon Marketing Services","US"
"theintelligence.de","aniview.com","",""
"theintelligence.de","bidswitch.net","Bidswitch","US"
"theintelligence.de","cloudfront.net","Amazon","US"
"theintelligence.de","cpx.to","Avocet","UK"
"theintelligence.de","criteo.com","Criteo","FR"
"theintelligence.de","doubleclick.net","DoubleClick","US"
"theintelligence.de","eu-1-id5-sync.com","",""
"theintelligence.de","google-analytics.com","Google Analytics","US"
"theintelligence.de","googleapis.com","Google APIs","US"
"theintelligence.de","gstatic.com","Google","US"
"theintelligence.de","id5-sync.com","ID5 Technology","UK"
"theintelligence.de","leadplace.fr","",""
"theintelligence.de","mathtag.com","Media Math","US"
"theintelligence.de","onetag-sys.com","",""
"theintelligence.de","pubmatic.com","PubMatic","US"
"theintelligence.de","qccerttest.com","",""
"theintelligence.de","quantcount.com","Quantcast","US"
"theintelligence.de","quantserve.com","Quantcast","US"
"theintelligence.de","rlcdn.com","LiveRamp","US"
"theintelligence.de","rubiconproject.com","Rubicon Project","US"
"theintelligence.de","sascdn.com","Smart AdServer","FR"
"theintelligence.de","sddan.com","",""
"theintelligence.de","smartadserver.com","Smart AdServer","FR"
"theintelligence.de","themoneytizer.com","",""
"theintelligence.de","tmyzer.com","",""
"theintelligence.de","unrulymedia.com","Unruly","UK"
"theintelligence.de","unrulyvideo.com","",""
"theintelligence.de","yahoo.com","Yahoo","US"
"theintelligence.de","zeotap.com","Zeotap","DE"
"tichyseinblick.de","adform.net","AdForm","DK"
"tichyseinblick.de","adnxs.com","Xandr","US"
"tichyseinblick.de","adsrvr.org","The Trade Desk","US"
"tichyseinblick.de","amazon-adsystem.com","Amazon Marketing Services","US"
"tichyseinblick.de","criteo.com","Criteo","FR"
"tichyseinblick.de","doubleclick.net","DoubleClick","US"
"tichyseinblick.de","fastly.net","Fastly","US"
"tichyseinblick.de","google-analytics.com","Google Analytics","US"
"tichyseinblick.de","google.com","Google","US"
"tichyseinblick.de","googleapis.com","Google APIs","US"
"tichyseinblick.de","googletagmanager.com","Google Tag Manager","US"
"tichyseinblick.de","googletagservices.com","Google Tag Manager","US"
"tichyseinblick.de","gstatic.com","Google","US"
"tichyseinblick.de","id5-sync.com","ID5 Technology","UK"
"tichyseinblick.de","ioam.de","INFOnline","DE"
"tichyseinblick.de","jsdelivr.net","jsDelivr","US"
"tichyseinblick.de","linkedin.com","LinkedIn","US"
"tichyseinblick.de","mathtag.com","Media Math","US"
"tichyseinblick.de","openx.net","OpenX","US"
"tichyseinblick.de","printfriendly.com","",""
"tichyseinblick.de","privacy-mgmt.com","",""
"tichyseinblick.de","quantserve.com","Quantcast","US"
"tichyseinblick.de","rubiconproject.com","Rubicon Project","US"
"tichyseinblick.de","taboola.com","Taboola","US"
"tichyseinblick.de","xing-share.com","",""
"tichyseinblick.de","yahoo.com","Yahoo","US"
"tichyseinblick.de","yieldlove-ad-serving.net","",""
"tichyseinblick.de","yieldlove.com","",""
"weltnetz.tv","deepseatools.de","",""
"weltnetz.tv","fontawesome.com","Fonticons","US"
"weltnetz.tv","jsdelivr.net","jsDelivr","US"
"yoice.net","google.com","Google","US"
"yoice.net","gstatic.com","Google","US"
