"percent_total","domain","owner","owner_country","owner_lineage"
"45.38","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"44.12","gstatic.com","Google","US","Google > Alphabet"
"41.18","google.com","Google","US","Google > Alphabet"
"38.24","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"34.87","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"26.47","google.ch","Google","US","Google > Alphabet"
"22.69","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"22.69","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"19.33","googleadservices.com","AdSense","US","AdSense > Google > Alphabet"
"15.97","facebook.net","Facebook","US","Facebook"
"14.71","facebook.com","Facebook","US","Facebook"
"12.61","wp.com","Wordpress","US","Wordpress > Automattic"
"10.92","quantserve.com","Quantcast","US","Quantcast"
"10.92","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"10.5","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"10.08","openx.net","OpenX","US","OpenX"
"10.08","pubmatic.com","PubMatic","US","PubMatic"
"9.66","adnxs.com","Xandr","US","Xandr > AT&T"
"9.24","casalemedia.com","Index Exchange","CA","Index Exchange"
"9.24","rubiconproject.com","Rubicon Project","US","Rubicon Project"
"9.24","ytimg.com","YouTube","US","YouTube > Google > Alphabet"
"8.82","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon"
"8.82","criteo.com","Criteo","FR","Criteo"
"8.4","adform.net","AdForm","DK","AdForm"
"8.4","adsrvr.org","The Trade Desk","US","The Trade Desk"
"7.56","bidswitch.net","Bidswitch","US","Bidswitch > IPONWEB"
"7.56","cloudflare.com","Cloudflare","US","Cloudflare"
"7.56","ggpht.com","Google","US","Google > Alphabet"
"7.14","bootstrapcdn.com","StackPath","US","StackPath"
"7.14","mathtag.com","Media Math","US","Media Math"
"6.72","adition.com","Adition Technologies","DE","Adition Technologies"
"6.72","agkn.com","Neustar Marketing","US","Neustar Marketing > Neustar > Golden Gate Capital"
"6.72","rlcdn.com","LiveRamp","US","LiveRamp > Acxiom"
"6.72","smartadserver.com","Smart AdServer","FR","Smart AdServer"
"6.72","twitter.com","Twitter","US","Twitter"
"6.72","yahoo.com","Yahoo","US","Yahoo > Verizon Media > Verizon"
"6.3","id5-sync.com","ID5 Technology","UK","ID5 Technology"
"6.3","jsdelivr.net","jsDelivr","US","jsDelivr > Prospect One"
"6.3","taboola.com","Taboola","US","Taboola"
"5.88","cloudfront.net","Amazon","US","Amazon"
"5.88","dotomi.com","Dotomi","US","Dotomi > Conversant Media > Here, There & Everywhere"
"5.88","simpli.fi","simpli.fi","US","simpli.fi > GTCR"
"5.88","zeotap.com","Zeotap","DE","Zeotap"
"5.46","1rx.io","Blinkx","US","Blinkx > RhythmOne > Taptica > Marimedia"
"5.46","adgrx.com","AdGear","CA","AdGear > Samsung"
"5.46","bidr.io","Beeswax","US","Beeswax"
"5.46","de17a.com","","",""
"5.46","everesttech.net","Adobe Experience Cloud","US","Adobe Experience Cloud > Adobe Systems"
"5.46","gumgum.com","Gumgum","US","Gumgum"
"5.46","loopme.me","Loopme","UK","Loopme"
"5.46","mookie1.com","Xaxis","US","Xaxis > GroupM > WPP"
"5.46","onaudience.com","OnAudience","UK","OnAudience"
"5.46","onesignal.com","","",""
"5.46","semasio.net","Semasio","DE","Semasio"
"5.46","turn.com","Turn","US","Turn > Amobee > Singtel"
"5.04","audrte.com","","",""
"5.04","bidtheatre.com","Bidtheatre","SE","Bidtheatre"
"5.04","crwdcntrl.net","Lotame","US","Lotame"
"5.04","deepintent.com","DeepIntent","US","DeepIntent > Propel Media"
"5.04","erne.co","","",""
"5.04","fiftyt.com","Fifty Technology","UK","Fifty Technology"
"5.04","iprom.net","","",""
"5.04","playground.xyz","","",""
"5.04","scorecardresearch.com","ScorecardResearch","US","ScorecardResearch > comScore"
"5.04","stackadapt.com","","",""
"5.04","tribalfusion.com","Tribal Fusion","US","Tribal Fusion > Exponential Advertising Intelligence"
"5.04","truffle.bid","","",""
"4.62","360yield.com","Improve Digital","NL","Improve Digital > Azerion"
"4.62","contextweb.com","PulsePoint","US","PulsePoint"
"4.62","linkedin.com","LinkedIn","US","LinkedIn > Microsoft"
"4.62","sitescout.com","SiteScout","US","SiteScout > Centro"
"4.62","teads.tv","Teads","US","Teads > Altice SA"
"4.62","w55c.net","DataXu","US","DataXu"
"4.2","addthis.com","AddThis","US","AddThis > Oracle Data Cloud > Oracle"
"4.2","bnmla.com","","",""
"4.2","fbcdn.net","Facebook","US","Facebook"
"4.2","gravatar.com","Gravatar","US","Gravatar > Automattic"
"4.2","ipredictive.com","","",""
"4.2","weborama.fr","Weborama","FR","Weborama"
"3.78","3lift.com","TripleLift","US","TripleLift"
"3.78","creativecdn.com","","",""
"3.78","eu-1-id5-sync.com","","",""
"3.78","lijit.com","Sovrn","US","Sovrn > Federated Media"
"3.78","omnitagjs.com","ADYOULIKE","US","ADYOULIKE"
"3.78","onetag-sys.com","","",""
"3.78","paypalobjects.com","","",""
"3.78","pubmine.com","","",""
"3.78","quantcount.com","Quantcast","US","Quantcast"
