"percent_total","request","type","domain","owner","owner_country","owner_lineage"
"32.77","https://fonts.googleapis.com/css","stylesheet","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"30.25","https://www.google-analytics.com/analytics.js","script","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"26.47","https://www.google-analytics.com/j/collect","xhr","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"18.91","https://www.googletagmanager.com/gtag/js","script","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"18.07","https://stats.g.doubleclick.net/j/collect","xhr","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"17.23","https://adservice.google.ch/adsid/integrator.js","script","google.ch","Google","US","Google > Alphabet"
"17.23","https://adservice.google.com/adsid/integrator.js","script","google.com","Google","US","Google > Alphabet"
"17.23","https://pagead2.googlesyndication.com/getconfig/sodar","xhr","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"17.23","https://pagead2.googlesyndication.com/pagead/sodar","image","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"17.23","https://tpc.googlesyndication.com/generate_204","image","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"17.23","https://tpc.googlesyndication.com/sodar/sodar2.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"17.23","https://tpc.googlesyndication.com/sodar/sodar2/225/runner.html","document","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"17.23","https://www.google.com/recaptcha/api2/aframe","document","google.com","Google","US","Google > Alphabet"
"15.97","https://fonts.gstatic.com/s/roboto/v30/KFOmCnqEu92Fr1Mu4mxK.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"15.97","https://googleads.g.doubleclick.net/pagead/html/r20220921/r20190131/zrt_lookup.html","document","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"15.97","https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"15.97","https://partner.googleadservices.com/gampad/cookie.js","script","googleadservices.com","AdSense","US","AdSense > Google > Alphabet"
"15.55","https://fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmWUlfBBc4.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"14.71","https://googleads.g.doubleclick.net/pagead/ads","document","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"14.29","https://pagead2.googlesyndication.com/bg/D52GskfJOxf5PECSshYwDvZZSmyyoPi_bK3LssDxWko.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"13.03","https://www.google.ch/ads/ga-audiences","image","google.ch","Google","US","Google > Alphabet"
"13.03","https://www.google.com/ads/ga-audiences","image","google.com","Google","US","Google > Alphabet"
"11.76","https://cm.g.doubleclick.net/pixel","image","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"11.76","https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"10.5","https://pixel.wp.com/g.gif","image","wp.com","Wordpress","US","Wordpress > Automattic"
"10.08","https://fonts.gstatic.com/s/opensans/v34/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-muw.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"10.08","https://fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmEU9fBBc4.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"9.66","https://www.google-analytics.com/collect","image","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"8.82","https://fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmSU5fBBc4.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"8.82","https://pagead2.googlesyndication.com/pagead/gen_204","image","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"8.82","https://www.googletagmanager.com/gtm.js","script","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"8.82","https://www.googletagservices.com/activeview/js/current/rx_lidar.js","script","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"8.4","https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/Create","other","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"8.4","https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/Create","xhr","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"8.4","https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/GenerateIT","other","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"8.4","https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/GenerateIT","xhr","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"8.4","https://tpc.googlesyndication.com/pagead/js/r20220921/r20110914/client/window_focus_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"7.98","https://connect.facebook.net/en_US/fbevents.js","script","facebook.net","Facebook","US","Facebook"
"7.98","https://region1.google-analytics.com/g/collect","ping","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"7.98","https://ssum-sec.casalemedia.com/usermatchredir","image","casalemedia.com","Index Exchange","CA","Index Exchange"
"7.98","https://tpc.googlesyndication.com/pagead/js/r20220921/r20110914/abg_lite_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"7.98","https://tpc.googlesyndication.com/pagead/js/r20220921/r20110914/client/qs_click_protection_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"7.98","https://www.gstatic.com/cv/js/sender/v1/cast_sender.js","script","gstatic.com","Google","US","Google > Alphabet"
"7.56","https://c1.adform.net/serving/cookie/match","image","adform.net","AdForm","DK","AdForm"
"7.56","https://googleads.g.doubleclick.net/pagead/id","xhr","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
