"percent_total","request","type","domain","owner","owner_country","owner_lineage"
"30.25","https://www.google-analytics.com/analytics.js","script","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"18.91","https://www.googletagmanager.com/gtag/js","script","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"17.23","https://adservice.google.ch/adsid/integrator.js","script","google.ch","Google","US","Google > Alphabet"
"17.23","https://adservice.google.com/adsid/integrator.js","script","google.com","Google","US","Google > Alphabet"
"17.23","https://tpc.googlesyndication.com/sodar/sodar2.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"15.97","https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"15.97","https://partner.googleadservices.com/gampad/cookie.js","script","googleadservices.com","AdSense","US","AdSense > Google > Alphabet"
"14.29","https://pagead2.googlesyndication.com/bg/D52GskfJOxf5PECSshYwDvZZSmyyoPi_bK3LssDxWko.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"8.82","https://www.googletagmanager.com/gtm.js","script","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"8.82","https://www.googletagservices.com/activeview/js/current/rx_lidar.js","script","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"8.4","https://tpc.googlesyndication.com/pagead/js/r20220921/r20110914/client/window_focus_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"7.98","https://connect.facebook.net/en_US/fbevents.js","script","facebook.net","Facebook","US","Facebook"
"7.98","https://tpc.googlesyndication.com/pagead/js/r20220921/r20110914/abg_lite_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"7.98","https://tpc.googlesyndication.com/pagead/js/r20220921/r20110914/client/qs_click_protection_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"7.98","https://www.gstatic.com/cv/js/sender/v1/cast_sender.js","script","gstatic.com","Google","US","Google > Alphabet"
