"use_category","percent_crawls_w_use","ave_occurances_per_page","percentage_of_use_w_cookie","percentage_of_use_ssl"
"audience_measurement","43.28","1.97","0.99","99.51"
"code","47.48","1.2","0.0","99.58"
"content_recommendation","7.14","1.35","0.0","100.0"
"customer_relationship_management","1.68","1.0","0.0","100.0"
"design_optimization","3.36","1.5","8.33","100.0"
"domain_registration","0.42","1.0","100.0","100.0"
"ecommerce","0.42","1.0","0.0","100.0"
"font","5.04","1.08","0.0","100.0"
"general","30.25","1.38","0.0","99.81"
"holding_company","0.42","1.0","0.0","100.0"
"hosting","63.87","2.68","4.9","99.84"
"malware","0.84","1.0","0.0","100.0"
"marketing","63.45","9.93","4.54","99.82"
"payment_platform","","","",""
"security","8.4","1.05","0.0","99.07"
"social_media","30.67","2.32","0.59","99.7"
"tag_manager","31.09","1.12","0.0","100.0"
"trustmark","0.42","1.0","0.0","100.0"
"video","17.65","1.76","25.68","100.0"
