"percentage_crawls_tracked","owner","owner_country","owner_lineage"
"65.55","Alphabet","US","Alphabet"
"65.55","Google","US","Google > Alphabet"
"45.38","Google APIs","US","Google APIs > Google > Alphabet"
"38.24","DoubleClick","US","DoubleClick > Google > Alphabet"
"34.87","Google Analytics","US","Google Analytics > Google > Alphabet"
"29.83","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"26.47","AdSense","US","AdSense > Google > Alphabet"
"19.33","Facebook","US","Facebook"
"13.87","Automattic","US","Automattic"
"13.45","Wordpress","US","Wordpress > Automattic"
"12.61","Amazon","US","Amazon"
"12.18","YouTube","US","YouTube > Google > Alphabet"
"10.92","Quantcast","US","Quantcast"
"10.08","OpenX","US","OpenX"
"10.08","PubMatic","US","PubMatic"
"9.66","AT&T","US","AT&T"
"9.66","Xandr","US","Xandr > AT&T"
"9.24","Index Exchange","CA","Index Exchange"
"9.24","Rubicon Project","US","Rubicon Project"
"8.82","Amazon Marketing Services","US","Amazon Marketing Services > Amazon"
"8.82","Criteo","FR","Criteo"
"8.4","AdForm","DK","AdForm"
"8.4","Microsoft","US","Microsoft"
"8.4","The Trade Desk","US","The Trade Desk"
"7.98","Adobe Systems","US","Adobe Systems"
"7.56","Bidswitch","US","Bidswitch > IPONWEB"
"7.56","Cloudflare","US","Cloudflare"
"7.56","IPONWEB","UK","IPONWEB"
"7.14","Marimedia","IL","Marimedia"
"7.14","Media Math","US","Media Math"
"7.14","StackPath","US","StackPath"
"7.14","Taptica","US","Taptica > Marimedia"
"7.14","Twitter","US","Twitter"
"7.14","Verizon","US","Verizon"
"7.14","Verizon Media","US","Verizon Media > Verizon"
"7.14","Yahoo","US","Yahoo > Verizon Media > Verizon"
"6.72","Acxiom","US","Acxiom"
"6.72","Adition Technologies","DE","Adition Technologies"
"6.72","Golden Gate Capital","US","Golden Gate Capital"
"6.72","GroupM","UK","GroupM > WPP"
"6.72","LiveRamp","US","LiveRamp > Acxiom"
"6.72","Neustar","US","Neustar > Golden Gate Capital"
"6.72","Neustar Marketing","US","Neustar Marketing > Neustar > Golden Gate Capital"
"6.72","Smart AdServer","FR","Smart AdServer"
"6.72","WPP","UK","WPP"
"6.3","Adobe Experience Cloud","US","Adobe Experience Cloud > Adobe Systems"
"6.3","ID5 Technology","UK","ID5 Technology"
"6.3","jsDelivr","US","jsDelivr > Prospect One"
"6.3","Prospect One","US","Prospect One"
"6.3","Taboola","US","Taboola"
"5.88","Conversant Media","US","Conversant Media > Here, There & Everywhere"
"5.88","Dotomi","US","Dotomi > Conversant Media > Here, There & Everywhere"
"5.88","GTCR","US","GTCR"
"5.88","Here, There & Everywhere","AU","Here, There & Everywhere"
"5.88","simpli.fi","US","simpli.fi > GTCR"
"5.88","Zeotap","DE","Zeotap"
"5.46","AdGear","CA","AdGear > Samsung"
"5.46","Amobee","US","Amobee > Singtel"
"5.46","Beeswax","US","Beeswax"
"5.46","Blinkx","US","Blinkx > RhythmOne > Taptica > Marimedia"
"5.46","Gumgum","US","Gumgum"
"5.46","Loopme","UK","Loopme"
"5.46","OnAudience","UK","OnAudience"
"5.46","Oracle","US","Oracle"
"5.46","Oracle Data Cloud","US","Oracle Data Cloud > Oracle"
"5.46","RhythmOne","US","RhythmOne > Taptica > Marimedia"
