"page_domain","3p_request_domain","3p_domain_owner","3p_domain_owner_country"
"achgut.com","cdntrf.com","",""
"achgut.com","cloudfront.net","Amazon","US"
"achgut.com","ioam.de","INFOnline","DE"
"achgut.com","opencmp.net","",""
"addendum.org","brightcove.com","Brightcove","US"
"alpenparlament.tv","facebook.com","Facebook","US"
"alpenparlament.tv","google-analytics.com","Google Analytics","US"
"alpenparlament.tv","newrelic.com","New Relic","US"
"alpenparlament.tv","nr-data.net","New Relic","US"
"alpenparlament.tv","vimeo.com","Vimeo","US"
"alpenparlament.tv","vimeocdn.com","Vimeo","US"
"alpenschau.com","1rx.io","Blinkx","US"
"alpenschau.com","360yield.com","Improve Digital","NL"
"alpenschau.com","addthis.com","AddThis","US"
"alpenschau.com","adform.net","AdForm","DK"
"alpenschau.com","adgrx.com","AdGear","CA"
"alpenschau.com","adingo.jp","Fluct","JP"
"alpenschau.com","adition.com","Adition Technologies","DE"
"alpenschau.com","admanmedia.com","",""
"alpenschau.com","admedo.com","",""
"alpenschau.com","adnxs.com","Xandr","US"
"alpenschau.com","adpartner.pro","",""
"alpenschau.com","adsrvr.org","The Trade Desk","US"
"alpenschau.com","adtarget.com.tr","",""
"alpenschau.com","adtelligent.com","",""
"alpenschau.com","agkn.com","Neustar Marketing","US"
"alpenschau.com","amazon-adsystem.com","Amazon Marketing Services","US"
"alpenschau.com","audrte.com","",""
"alpenschau.com","bidr.io","Beeswax","US"
"alpenschau.com","bidswitch.net","Bidswitch","US"
"alpenschau.com","bidtheatre.com","Bidtheatre","SE"
"alpenschau.com","bluekai.com","Oracle Blue Kai","US"
"alpenschau.com","casalemedia.com","Index Exchange","CA"
"alpenschau.com","contextweb.com","PulsePoint","US"
"alpenschau.com","cookieless-data.com","",""
"alpenschau.com","creativecdn.com","",""
"alpenschau.com","criteo.com","Criteo","FR"
"alpenschau.com","crwdcntrl.net","Lotame","US"
"alpenschau.com","ctnsnet.com","Crimtan","UK"
"alpenschau.com","de17a.com","",""
"alpenschau.com","demdex.net","Adobe Audience Manager","US"
"alpenschau.com","dotomi.com","Dotomi","US"
"alpenschau.com","doubleclick.net","DoubleClick","US"
"alpenschau.com","e-planning.net","",""
"alpenschau.com","e-volution.ai","",""
"alpenschau.com","erne.co","",""
"alpenschau.com","eu-1-id5-sync.com","",""
"alpenschau.com","everesttech.net","Adobe Experience Cloud","US"
"alpenschau.com","exelator.com","exelate","US"
"alpenschau.com","eyeota.net","Eyeota","SG"
"alpenschau.com","facebook.com","Facebook","US"
"alpenschau.com","facebook.net","Facebook","US"
"alpenschau.com","fbcdn.net","Facebook","US"
"alpenschau.com","fiftyt.com","Fifty Technology","UK"
"alpenschau.com","fwmrm.net","FreeWheel","US"
"alpenschau.com","gemius.pl","Gemius","PL"
"alpenschau.com","google-analytics.com","Google Analytics","US"
"alpenschau.com","google.ch","Google","US"
"alpenschau.com","google.com","Google","US"
"alpenschau.com","googleadservices.com","AdSense","US"
"alpenschau.com","googleapis.com","Google APIs","US"
"alpenschau.com","googlesyndication.com","AdSense","US"
"alpenschau.com","googletagmanager.com","Google Tag Manager","US"
"alpenschau.com","googletagservices.com","Google Tag Manager","US"
"alpenschau.com","googleusercontent.com","Google","US"
"alpenschau.com","gstatic.com","Google","US"
"alpenschau.com","id5-sync.com","ID5 Technology","UK"
"alpenschau.com","idealmedia.io","",""
"alpenschau.com","imrworldwide.com","Nielsen Online","US"
"alpenschau.com","inmobi.com","Inmobi","IN"
"alpenschau.com","innovid.com","Innovid","US"
"alpenschau.com","iprom.net","",""
"alpenschau.com","kargo.com","",""
"alpenschau.com","krxd.net","Salesforce DMP","US"
"alpenschau.com","lijit.com","Sovrn","US"
"alpenschau.com","loopme.me","Loopme","UK"
"alpenschau.com","mathtag.com","Media Math","US"
"alpenschau.com","media.net","Media.net","US"
"alpenschau.com","mgid.com","",""
"alpenschau.com","mookie1.com","Xaxis","US"
"alpenschau.com","onaudience.com","OnAudience","UK"
"alpenschau.com","onetag-sys.com","",""
"alpenschau.com","openx.net","OpenX","US"
"alpenschau.com","pinterest.com","Pinterest","US"
"alpenschau.com","playground.xyz","",""
"alpenschau.com","pubmatic.com","PubMatic","US"
"alpenschau.com","quantserve.com","Quantcast","US"
"alpenschau.com","rfihub.com","Rocketfuel","US"
"alpenschau.com","richaudience.com","",""
"alpenschau.com","rlcdn.com","LiveRamp","US"
"alpenschau.com","rtbsystem.org","",""
"alpenschau.com","rubiconproject.com","Rubicon Project","US"
"alpenschau.com","semasio.net","Semasio","DE"
"alpenschau.com","simpli.fi","simpli.fi","US"
"alpenschau.com","sitescout.com","SiteScout","US"
"alpenschau.com","smadex.com","",""
"alpenschau.com","smartadserver.com","Smart AdServer","FR"
"alpenschau.com","spotim.market","",""
"alpenschau.com","spotimmedia.com","",""
"alpenschau.com","stackadapt.com","",""
"alpenschau.com","taboola.com","Taboola","US"
"alpenschau.com","tapad.com","TapAd","US"
"alpenschau.com","tidaltv.com","Videology Group","US"
"alpenschau.com","tribalfusion.com","Tribal Fusion","US"
"alpenschau.com","truffle.bid","",""
"alpenschau.com","turn.com","Turn","US"
"alpenschau.com","twitter.com","Twitter","US"
"alpenschau.com","tynt.com","33Across","US"
"alpenschau.com","vidoomy.com","",""
"alpenschau.com","vitaminum.net","",""
"alpenschau.com","w.org","Wordpress","US"
"alpenschau.com","walmart.com","Walmart","US"
"alpenschau.com","weborama.fr","Weborama","FR"
"alpenschau.com","widespace.com","",""
"alpenschau.com","wp.com","Wordpress","US"
"alpenschau.com","yahoo.com","Yahoo","US"
"alpenschau.com","zeotap.com","Zeotap","DE"
"anderweltonline.com","facebook.com","Facebook","US"
"anonymousnews.org","anonymousnews.ru","",""
"anonymousnews.org","google-analytics.com","Google Analytics","US"
"bachheimer.com","bootstrapcdn.com","StackPath","US"
"bachheimer.com","doubleclick.net","DoubleClick","US"
"bachheimer.com","google-analytics.com","Google Analytics","US"
"bachheimer.com","google.ch","Google","US"
"bachheimer.com","google.com","Google","US"
"bachheimer.com","googleadservices.com","AdSense","US"
"bachheimer.com","googleapis.com","Google APIs","US"
"bachheimer.com","googlesyndication.com","AdSense","US"
"bachheimer.com","googletagmanager.com","Google Tag Manager","US"
